101,"Vraždy loupežné ",0
102,"Vraždy sexuální",0
103,"Vraždy motivované osobními vztahy",0
104,"Vraždy na objednávku",0
105,"Vraždy novorozence matkou",0
106,"Vraždy ostatní",0
"101-106","Vraždy celkem:",1
111,"Usmrcení plodu - s pomocí matky  ",0
112,"Usmrcení plodu - se souhlasem matky ",0
113,"Usmrcení plodu - bez souhlasu matky ",0
115,"Zabití ",0
116,"Usmrcení z nedbalosti",0
121,"Opuštění dítěte",0
122,"Únos",0
131,"Loupeže",0
132,"Loupeže na finančních institut.",0
141,"Násilí proti úřední osobě - ostatní",1
142,"Násilí proti úřední osobě - policistovi",0
143,"Násilí proti úřední osobě - strážníkovi",0
151,"Úmyslné ublížení na zdraví",0
161,"Rvačky",0
171,"Násilí a vyhrož. proti skup. ob.",0
172,"Braní rukojmí",0
173,"Nebezpečné vyhrožování",0
174,"Nebezpečné pronásledování ",0
181,"Vydírání",0
182,"Omezování osobní svobody",0
183,"Porušování domovní svobody",0
184,"Neoprávněný zásah do práva domu",0
185,"Týrání svěřené osoby",0
186,"Týrání osoby žijící  ve spol. obydlí",0
187,"Omezování svobody vyznání",0
188,"Útisk",0
189,"Porušování svobody shromažďování",0
190,"Ostatní násilné trestné činy",0
"101-190","Násilné činy celkem:",1
201,"Znásilnění",1
202,"Sexuální nátlak",0
211,"Pohlavní zneužívání v závislosti",0
212,"Pohlavní zneužívání ostatní",0
213,"Komerční sexuální zneužívání v závislosti",0
214,"Komerční sexuální zneužívání ostatní",0
231,"Ostatní pohlavní úchylky",0
241,"Šíření pornografie ",0
251,"Ohrožování pohlavní nemocí",0
252,"Ublížení na zdraví pohlavní nemocí",0
253,"Ublížení na zdraví pohlavní nemocí nedb.",0
271,"Kuplířství",0
280,"Soulož mezi příbuznými",0
281,"obchodování s lidmi ",0
290,"Ostatní mravnostní trestné činy",0
"201-290","Mravnostní činy celkem:",1
311,"Vloupání do obchodů",0
312,"Vloupání do výkladních skříní",0
321,"Vloupání do restaurací",0
322,"Vloupáním do ubytovacích objektů",0
323,"Vloupání do kiosků",0
324,"Vloupání do jídelen a závodních kuchyní",0
331,"Vloupání do kostelů, muzejí apod.",0
332,"Vloupání do ostatních kulturních objektů",0
341,"Vloupání do pokladen a trezorů",0
350,"Vloupání do počítačových pracovišť",0
351,"Vloupání do škol",0
371,"Vloupání do bytů",0
372,"Vloupání do víkendových chat a chalup",1
373,"Vloupání do rodinných domů",0
390,"Vloupání do ostatních objektů",0
"311-390","Krádeže vloupáním celkem:",1
411,"Krádeže kapesní",0
412,"Krádeže při pohlavním styku",0
413,"Krádeže jiné na osobách",0
421,"Krádeže mezi zaměstnanci na pracovišti",0
431,"Krádeže automobilů",0
432,"Krádeže motocyklů",0
433,"Krádeže věcí z automobilů",0
434,"Krádeže součástek motorových vozidel",0
435,"Krádeže jízdních kol",1
441,"Krádeže domácího zvířectva",0
451,"Krádeže v bytech",0
461,"Krádeže věcí na nádražích",0
462,"Krádeže věcí během jízdy v dopravních prostředcích",0
471,"Krádeže v objektech s uměleckými předměty",0
480,"Krádeže v jiných objektech",0
490,"Krádeže ostatní",0
"411-490","Krádeže prosté celkem:",1
511,"Podvod",0
521,"Zpronevěra",0
530,"Neoprávněné užívání cizí věci",0
588,"Zatajení věci",0
589,"Poškozování cizí věci",0
590,"Pytláctví a ostatní majetkové trestné činy ",0
"311-590","Majetkové činy celkem:",1
611,"Výtržnictví",0
612,"Výtrž. na sport. a veřej. akcích",0
613,"Sprejerství",0
614,"Výtržnictví - útoky na záchranáře ",0
631,"Ohrožování výchovy mládeže ",0
632,"Podávání alkoholu mládeži",0
633,"Obchodování s dětmi",0
634,"Nedovolené překročení státní hranice",0
635,"Výroba a držení drog pro jiného",0
636,"Šíření toxikománie",0
637,"Zneužívání pravomoci úřední osoby ",0
639,"Neoprávněné nakládání s osobními údaji",0
640,"Maření úkolů úřední osoby z nedbalosti ",0
641,"Výroba a držení drog pro sebe",0
642,"Držení předmětu k výrobě droj",0
643,"Pěstování rostlin obsahujících omamnou látku",0
644,"Výroba a nakládání hormonálních látek",0
651,"Požáry",0
652,"Výbuchy",0
662,"Nedovolené ozbrojování",0
663,"Maření výkonu úředního rozh.",0
664,"Překup. a přechov. - podílnictví",0
690,"Ostatní kriminální trestné činy ",0
"611-690","Ostatní krim. činy celkem:",1
721,"Nadržování",0
730,"Veškeré dopravní nehody úmyslné",0
731,"Dopravní nehody silniční z nedbalosti",0
732,"Dopravní nehody letecké z nedbalosti",0
733,"Dopravní nehody vodní z nedbalosti",0
741,"Dopravní nehody železniční z nedbalosti",0
742,"Dopravní nehody kombinované z nedbalosti",0
750,"Ublížení na zdraví z nedbalosti - pracovní úraz",0
751,"Ublížení na zdraví z nedbalosti - ostatní",0
762,"Poškozování věřitele",0
763,"Zvýhodňování věřitele",0
771,"Ohrožení pod vlivem návykové látky a opilství",1
772,"Zanedbání povinné výživy",0
781,"Únos letadla či plavidla",0
782,"Sdělení nepravdivé informace",0
783,"Zavlečení VDP do ciziny",0
784,"Týrání zvířat",0
785,"Šíření poplašné zprávy",0
786,"Účast na organizované zločinecké skupině ",0
787,"Hanobení národa, rasy, etnické nebo jiné skupiny ",0
788,"Podněcování k národnostní a rasové nenávisti",0
789,"Podpora a propagace hnutí",0
790,"Ostatní trestná činnost",0
"721-790","Zbývající kriminalita celkem:",1
801,"Tr.č. proti př. o nekalé soutěži",0
803,"Neoprávněné podnikání",0
806,"Poškozování spotřebitele",0
807,"Pašování a krácení cla",0
808,"Zkresl. údajů o stavu hosp.a jm.",0
809,"Porušování závazných pravidel hospodářského styku",0
810,"Porušování povinnosti v insolvenčním řízení",0
811,"Porušování povinnosti při správě cizího majetku",0
812,"Krádež",0
813,"Neoprávněné užívání cizí věci",0
814,"Poškození cizí věci",0
815,"Podvody proti sociálnímu a nemocenskému pojištění",0
816,"Ochrana měny",0
817,"Padělání známek a kolků",0
819,"Krácení daně",0
820,"Zneužívaní pravomoci úřední osoby",0
821,"Úplatkářství - přijímání úplatku",0
822,"Poškozování věřitele",0
823,"Paděl. a pozměň. veř. listiny",0
824,"Nedov. výr. a drž.st.peč. a úř.raz.",0
825,"Ohrožování zdraví závad. potr.",0
826,"Vystavení neprav. potvrzení",0
827,"Neoprávněné užívání mot. voz.",0
828,"Poruš. tajemství doprav. zpráv",0
829,"Zpronevěra",0
830,"Podvod",0
831,"Plet. při veř. soutěži a dražbě",0
832,"Porušení předpisu o nakládání s kontrolovaným zbožím",0
833,"Zneuž. informací v obch. styku",0
834,"Neoprávněné provozování loterie ",0
835,"Porušování předpisů o nálepkách k označování zboží",0
836,"Neoprávněné nakládání s osobními údaji",0
837,"Ostatní trestné činy proti měně",0
838,"Neoprávněné držení platebního prostředku",0
839,"Porušování předpisů o zahrančním obchodu se zbraněmi",0
840,"Rozkrádání přepravovaných zásilek železničních",0
841,"Rozkrádání přepravovaných zásilek poštovních",0
842,"Rozkrádání přepravovaných zásilek silničních",0
843,"Rozkrádání přepravovaných zásilek leteckých",0
844,"Rozkrádání přepravovaných zásilek lodních",0
845,"Maření úkolu úřední osoby z nedbalosti",0
846,"Úplatkářství - podplácení",0
847,"Úplatkářství - nepřímé",0
848,"Zvýhodňování věřitele",0
849,"Pletichy v insolvenčním řízení",0
850,"Ohrožení životního prostředí úmyslné",0
851,"Ohrožení životního prostředí nedbalostní",0
852,"Předlužení",0
853,"Neoprávněné vydání cenného papíru ",0
854,"Manipulace s kurzem investičních nástrojů ",0
855,"Nedovolená výr.rad.mat.",0
860,"Podílnictví",0
861,"Porušení práv k ochranné známce",0
862,"Porušování průmyslových práv",0
863,"Porušování autorského práva",0
864,"Zastření původu věci",0
865,"Poškozování a zneužití záznamu na nosiči informací",0
866,"Provozování nepoctivých her a sázek",0
870,"Havárie a provozní poruchy úmyslné",0
871,"Havárie a provozní poruchy nedbalostní",0
880,"Pojistný podvod",0
881,"Úvěrový podvod",0
882,"Dotační podvod ",0
885,"Nesplnění oznamovací povinnosti v daňovém řízení",0
886,"Neodvedení daně a dalších povinných plnění",0
890,"Ostatní hosp. trestné činy",0
"801-890","Hospodářské činy celkem:",1
901,"Vojenské trestné činy",
902,"Trestné činy proti ústav. zřízení",0
903,"Trestné činy válečné a proti míru",0
"101-690"," Obecná kriminalita celkem",1
"101-903"," CELKOVÁ KRIMINALITA",1
"141,142,143,151,161,171,173,181,611,612,614","Fyzické útoky",1
"131,132","Loupeže",1
"371,373","Vloupání do obydlí",1
"433,434","Krádeže věcí z automobilů",1
"635,641,642,643","Výroba držení a distribuce drog",1
